alpha_deg,variant,label,T1_true_s,T1_fit_s,mape_vs_true_pct,rel_vs_truth_pct
5.0,koma_water5,T1_7,0.2723,0.24827443896406343,8.823195385948058,2.3124163553262544
5.0,koma_water5,T1_8,0.1945,0.16265135577436082,16.374624280534285,3.370999480072639
5.0,koma_water5,T1_9,0.1378,0.11543368559593609,16.230997390467287,3.370999480072635
5.0,koma_water5,T1_10,0.0947,0.08286509020586648,12.49726483013044,4.678305404656289
5.0,koma_water5,T1_11,0.067,0.05428718044671442,18.974357542217287,7.689563614554724
5.0,koma_water5,T1_12,0.04814,0.03941853704763443,18.11687360275358,8.738703726314204
5.0,koma_water5,T1_13,0.03435,0.025530658105902895,25.67494001192752,10.801347945160865
5.0,koma_water5,T1_14,0.02416,0.011602036330119483,51.978326448180944,36.69570654447218
5.0,koma_water0,T1_1,1.879,1.83510918156835,2.335860480662586,0.0
5.0,koma_water0,T1_2,1.432,1.3789789502700562,3.7025872716441137,0.0
5.0,koma_water0,T1_3,1.027,0.956542276970287,6.86053778283475,0.0
5.0,koma_water0,T1_4,0.7513,0.6866623174826387,8.60344503092789,0.0
5.0,koma_water0,T1_5,0.527,0.4655447205843168,11.66134334263439,0.0
5.0,koma_water0,T1_6,0.3841,0.3266420628235515,14.95910887176477,0.0
5.0,koma_water0,T1_7,0.2723,0.24266305870620616,10.88392996466905,0.0
5.0,koma_water0,T1_8,0.1945,0.16832561125458187,13.457269277849942,0.0
5.0,koma_water0,T1_9,0.1378,0.11946070535225159,13.308631819846456,0.0
5.0,koma_water0,T1_10,0.0947,0.07916166572006857,16.407955945017356,0.0
5.0,koma_water0,T1_11,0.067,0.05880936389471338,12.224830007890478,0.0
5.0,koma_water0,T1_12,0.04814,0.04319304969044181,10.276174303195242,0.0
5.0,koma_water0,T1_13,0.03435,0.02862224654494409,16.674682547469892,0.0
5.0,koma_water0,T1_14,0.02416,0.018327408295410613,24.141521956081906,0.0
5.0,cached,T1_1,1.879,1.83510918156835,2.335860480662586,0.0
5.0,cached,T1_2,1.432,1.3789789502700562,3.7025872716441137,0.0
5.0,cached,T1_3,1.027,0.956542276970287,6.86053778283475,0.0
5.0,cached,T1_4,0.7513,0.6866623174826387,8.60344503092789,0.0
5.0,cached,T1_5,0.527,0.4655447205843168,11.66134334263439,0.0
5.0,cached,T1_6,0.3841,0.3266420628235515,14.95910887176477,0.0
5.0,cached,T1_7,0.2723,0.24266305870620616,10.88392996466905,0.0
5.0,cached,T1_8,0.1945,0.16832561125458187,13.457269277849942,0.0
5.0,cached,T1_9,0.1378,0.11946070535225159,13.308631819846456,0.0
5.0,cached,T1_10,0.0947,0.07916166572006857,16.407955945017356,0.0
5.0,cached,T1_11,0.067,0.05880936389471338,12.224830007890478,0.0
5.0,cached,T1_12,0.04814,0.04319304969044181,10.276174303195242,0.0
5.0,cached,T1_13,0.03435,0.02862224654494409,16.674682547469892,0.0
5.0,cached,T1_14,0.02416,0.018538100231339793,23.269452684851856,1.1496002737164968
